Rows & Cols, Channels, Filters, Memory Usage,,WS-1-ex, WS-(MAC/CYCLE),IM2COL-IC-1EX ,IM2C IC  (MAC/CYCLE), IM2C OC 1 EX, IM2C OC  (MAC/CYCLE), CONV OC 1 EX, CONV OC  (MAC/CYCLE)
16, 16, 16, 37kB, ,2871, ,679 , ,6278, ,6994, ,
16, 16, 17, 38kB, ,2871, ,679 , ,12639, ,13717, ,
16, 16, 18, 39kB, ,2871, ,679 , ,12639, ,13717, ,
16, 16, 19, 41kB, ,2871, ,679 , ,12639, ,13717, ,
16, 16, 20, 42kB, ,2871, ,679 , ,12639, ,13717, ,
16, 16, 21, 43kB, ,2871, ,679 , ,12639, ,13717, ,
16, 16, 22, 45kB, ,2871, ,679 , ,12639, ,13717, ,
16, 16, 23, 46kB, ,2871, ,679 , ,12639, ,13717, ,
16, 16, 24, 47kB, ,2871, ,679 , ,12639, ,13717, ,
16, 16, 25, 49kB, ,2871, ,679 , ,12639, ,13717, ,
16, 16, 26, 50kB, ,2871, ,679 , ,12639, ,13717, ,
16, 16, 27, 51kB, ,2871, ,679 , ,12639, ,13717, ,
16, 16, 28, 53kB, ,2871, ,679 , ,12639, ,13717, ,
16, 16, 29, 54kB, ,2871, ,679 , ,12639, ,13717, ,
16, 16, 30, 55kB, ,2871, ,679 , ,12639, ,13717, ,
16, 16, 31, 57kB, ,2871, ,679 , ,12639, ,13717, ,
16, 16, 32, 58kB, ,2871, ,679 , ,12639, ,13717, ,
16, 16, 48, 79kB, ,2871, ,679 , ,18939, ,20554, ,
16, 16, 64, 101kB, ,2871, ,679 , ,25235, ,27390, ,
16, 16, 80, 122kB, ,2871, ,679 , ,31528, ,34229, ,
16, 16, 96, 143kB, ,2871, ,679 , ,37756, ,41173, ,
16, 16, 112, 164kB, ,2871, ,679 , ,43822, ,48007, ,
16, 16, 128, 186kB, ,2871, ,679 , ,49871, ,54896, ,
16, 16, 144, 207kB, ,2871, ,679 , ,55927, ,61848, ,
16, 17, 16, 38kB, ,2871, ,1444 , ,6278, ,6994, ,
16, 17, 17, 40kB, ,2871, ,1444 , ,12639, ,13717, ,
16, 17, 18, 41kB, ,2871, ,1444 , ,12639, ,13717, ,
16, 17, 19, 42kB, ,2871, ,1444 , ,12639, ,13717, ,
16, 17, 20, 44kB, ,2871, ,1444 , ,12639, ,13717, ,
16, 17, 21, 45kB, ,2871, ,1444 , ,12639, ,13717, ,
16, 17, 22, 46kB, ,2871, ,1444 , ,12639, ,13717, ,
16, 17, 23, 48kB, ,2871, ,1444 , ,12639, ,13717, ,
16, 17, 24, 49kB, ,2871, ,1444 , ,12639, ,13717, ,
16, 17, 25, 51kB, ,2871, ,1444 , ,12639, ,13717, ,
16, 17, 26, 52kB, ,2871, ,1444 , ,12639, ,13717, ,
16, 17, 27, 53kB, ,2871, ,1444 , ,12639, ,13717, ,
16, 17, 28, 55kB, ,2871, ,1444 , ,12639, ,13717, ,
16, 17, 29, 56kB, ,2871, ,1444 , ,12639, ,13717, ,
16, 17, 30, 57kB, ,2871, ,1444 , ,12639, ,13717, ,
16, 17, 31, 59kB, ,2871, ,1444 , ,12639, ,13717, ,
16, 17, 32, 60kB, ,2871, ,1444 , ,12639, ,13717, ,
16, 17, 48, 82kB, ,2871, ,1444 , ,18939, ,20554, ,
16, 17, 64, 104kB, ,2871, ,1444 , ,25235, ,27390, ,
16, 17, 80, 126kB, ,2871, ,1444 , ,31528, ,34229, ,
16, 17, 96, 147kB, ,2871, ,1444 , ,37756, ,41173, ,
16, 17, 112, 169kB, ,2871, ,1444 , ,43822, ,48007, ,
16, 17, 128, 191kB, ,2871, ,1444 , ,49871, ,54896, ,
16, 17, 144, 213kB, ,2871, ,1444 , ,55927, ,61848, ,
16, 18, 16, 40kB, ,2871, ,1444 , ,6278, ,6994, ,
